slug,title,shelf,status,kind,problem,proof,stack,repo,preview,asset,solves,shows
meetingproof,MeetingProof,work,Live,Everyday work tool,Meeting follow-up loses decisions ownership and source context,"Browser-local draft, exact source lines, named human approval, tested LangGraph reference","JavaScript; LangGraph; LangSmith; Pydantic; GitHub Pages",https://github.com/MatthewPaver/MeetingProof,preview.html?app=meetingproof,assets/meetingproof.svg,Turns meeting notes into a reviewed follow-up,Evidence-linked human approval
project-1966,Can England Win It?,product,Live,Interactive simulation,World Cup probabilities are hard to understand from a static percentage,"Three matchday choices, 10,000 seeded simulations, and shareable scenarios","React; TypeScript; Vite; Vitest; Monte Carlo",https://github.com/MatthewPaver/can-england-win-it,preview.html?app=project-1966,assets/project-1966-cinema.png,Makes tournament probabilities playable,"10,000 explainable futures"
happening,Happening,automation,Private,Private data system,Venue event listings are inconsistent and brittle,103+ source configs and 167 reliability tests,"Python; Playwright; SQLite; Pydantic; GitHub Actions",,preview.html?app=happening,assets/happening-web.png,Turns venue pages into data,"103+ sources, 167 tests"
quicksupply,QuickSupply,product,Private MVP,Workflow app,Same-day school cover requests need visible ownership and status,School agency teacher flow with live status,"Next.js; TypeScript; PostgreSQL; Drizzle; SSE",,preview.html?app=quicksupply,assets/quicksupply-dashboard.png,Coordinates supply-cover work,Three-sided workflow model
study,AI Study Companion,product,Private,AI learning workflow,Uploaded study material needs to become usable practice,Document ingestion generation and spaced review,"FastAPI; PostgreSQL; Redis; Celery; LLMs",,preview.html?app=study,assets/ai-study-companion-ui.png,Makes revision material usable,Ingestion + generation loop
smart-job,Smart Job Market Intelligence,data,Private,Labour-market data product,Job listings need to become comparable market signals,Salary skill remote-work and volume signals,"Python; FastAPI; PostgreSQL; Redis; Celery",,preview.html?app=smart-job,assets/smart-job-market.png,Finds labour-market signals,"Reports, alerts, API shape"
operations,Operations Platform Prototype,product,Private prototype,Operations workflow,Resident requests and ops context live in different places,Request intake audit trail payments and AI triage,"Next.js; TypeScript; Payments; AI triage; Product docs",,preview.html?app=operations,assets/operations-platform.png,Organises property ops requests,Audit trail + triage concept
lakehouse,Marketing ML Lakehouse,data,Public,Runnable analytics app,Analytics demos often stop at a notebook,Raw CSVs to DuckDB ML checks and dashboard,"Python; DuckDB; XGBoost; Streamlit; Makefile",https://github.com/MatthewPaver/marketing-ml-lakehouse,preview.html?app=lakehouse,assets/marketing-lakehouse-dashboard.png,Packages local analytics,"Pipeline, ML, dashboard"
projectlens,ProjectLens,work,Live,Project assurance application,Project boards receive packs and delivery evidence that may not agree,"Board-readiness check across five evidence groups, source-linked findings, human decision record, and condition follow-up","JavaScript; Python; Primavera P6 XER; Evidence contracts; GitHub Pages",https://github.com/MatthewPaver/ProjectLens,preview.html?app=projectlens,assets/projectlens-change-assurance.png,Checks whether a project board pack is ready to decide,Pack-to-decision evidence workflow
decisiongraph,DecisionGraph,work,Live,Decision-support application,Project knowledge is stored but rarely retrieved when a new change needs approval,"16 comparable cases, evidence graph, local import, and human review loop","JavaScript; HTML; CSS; Information retrieval; Knowledge graphs",https://github.com/MatthewPaver/DecisionGraph,preview.html?app=decisiongraph,assets/decisiongraph.png,Brings project memory into decisions,Problem-to-outcome evidence chain
architexa,Architexa,ml,Public,Generative ML project,Architecture image generation needs dataset and serving discipline,Dataset prep conditional GAN and Flask API,"Python; TensorFlow; Keras; Flask; GAN",https://github.com/MatthewPaver/Architexa,preview.html?app=architexa,assets/architexa-output-thumb.png,Generates architecture imagery,"Dataset, GAN, API"
recommender,Dating App Recommendation System,ml,Public,Recommendation system,Recommendation demos often skip evaluation,Implicit feedback temporal holdout and Top-K metrics,"Python; NumPy; SciPy; Jupyter; CLI",https://github.com/MatthewPaver/dating-app-recommendation-system,preview.html?app=recommender,assets/recommender-eval-thumb.png,Ranks candidate profiles,Temporal evaluation discipline
hr,HR Performance Analytics,analytics,Public,Dashboard package,Dashboard work needs inspectable handoff material,PBIX files screenshots data and commentary,"Power BI; DAX; CSV; Reporting; PDF exports",https://github.com/MatthewPaver/hr-performance-dashboards,preview.html?app=hr,assets/hr-summary-preview.png,Turns HR data into decisions,Stakeholder-ready dashboards
sentence,Sentence Similarity Analysis,ml,Public,NLP notebook,Similarity is useful but not truth,Transformer embeddings cosine ranking and caveats,"Python; Jupyter; sentence-transformers; PyTorch",https://github.com/MatthewPaver/sentence-similarity-analysis,preview.html?app=sentence,assets/sentence-similarity-eval-thumb.png,Compares meaning with embeddings,Retrieval caveats made clear
